Date,Open,High,Low,Close,Volume,Adj Close
2005-11-28,600000,603000,596000,601000,188600,566717.72
2005-11-29,598000,602000,588000,594000,343100,560117.02
2005-11-30,593000,604000,593000,600000,346100,565774.76
2005-12-01,596000,608000,595000,605000,387100,570489.55
2005-12-02,620000,623000,614000,617000,386800,581805.05
2005-12-05,622000,625000,618000,623000,248300,587462.8
2005-12-06,619000,631000,617000,630000,422200,594063.5
2005-12-07,630000,645000,624000,639000,530600,602550.12
2005-12-08,635000,640000,626000,632000,538000,595949.42
2005-12-09,628000,631000,613000,621000,460500,585576.88
2005-12-12,622000,628000,617000,618000,371700,582748.01
2005-12-13,621000,623000,613000,620000,331900,584633.92
2005-12-14,622000,627000,608000,611000,526000,576147.3
2005-12-15,609000,616000,601000,609000,372100,574261.38
2005-12-16,606000,606000,593000,600000,588100,565774.76
2005-12-19,607000,614000,602000,609000,359700,574261.38
2005-12-20,603000,614000,602000,612000,343900,577090.26
2005-12-21,614000,635000,614000,628000,506700,592177.58
2005-12-22,635000,647000,631000,634000,561900,597835.33
2005-12-23,642000,652000,636000,645000,573100,608207.87
2005-12-26,650000,663000,649000,654000,356600,616694.49
2005-12-27,659000,664000,648000,661000,360000,623295.2
2005-12-28,658000,663000,655000,661000,428000,623295.2
2005-12-29,660000,670000,657000,658000,418300,620466.32
2005-12-30,659000,659000,659000,659000,0,621409.28
2006-01-02,664000,668000,656000,660000,339700,622352.24
2006-01-03,660000,666000,656000,664000,347700,626124.07
2006-01-04,675000,700000,673000,697000,772000,657241.68
2006-01-05,695000,695000,671000,679000,515600,640268.44
2006-01-06,685000,688000,679000,684000,347800,644983.23
2006-01-09,695000,697000,683000,687000,299900,647812.1
2006-01-10,695000,701000,688000,701000,472800,661013.51
2006-01-11,693000,698000,679000,684000,349200,644983.23
2006-01-12,684000,692000,681000,686000,402300,646869.15
2006-01-13,677000,694000,668000,692000,473900,652526.89
2006-01-16,700000,707000,696000,706000,382800,665728.3
2006-01-17,707000,721000,697000,697000,426500,657241.68
2006-01-18,685000,689000,673000,680000,606900,641211.4
2006-01-19,682000,695000,680000,690000,390500,650640.98
2006-01-20,702000,708000,685000,687000,460800,647812.1
2006-01-23,677000,695000,671000,685000,536300,645926.19
2006-01-24,683000,700000,680000,697000,580500,657241.68
2006-01-25,709000,720000,705000,711000,584800,670443.09
2006-01-26,714000,718000,705000,717000,371100,676100.84
2006-01-27,720000,724000,713000,720000,313500,678929.72
2006-01-30,720000,720000,720000,720000,0,678929.72
2006-01-31,723000,741000,719000,740000,446400,697788.87
2006-02-01,735000,743000,723000,729000,440100,687416.34
2006-02-02,738000,739000,720000,725000,381800,683644.5
2006-02-03,718000,718000,702000,704000,444100,663842.39
2006-02-06,700000,706000,693000,706000,425800,665728.3
2006-02-07,709000,730000,706000,706000,331700,665728.3
2006-02-08,700000,709000,685000,691000,382200,651583.93
2006-02-09,696000,697000,687000,693000,367600,653469.85
